Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Murrieta, CA",City,2020,4,1199,1434,1794,2520,3105,-0.1,2.3
"Muskegon, MI",City,2020,4,520,563,748,1028,1032,0.1,1.3
"Nampa, ID",City,2020,4,576,707,907,1313,1546,0.1,2.1
"Nashville, TN",City,2020,4,855,952,1169,1558,1832,0.1,3.3
"New Baltimore, MI",City,2020,4,709,857,1115,1481,1606,0,1.8
"New Britain, CT",City,2020,4,671,831,1040,1311,1469,0.1,1.4
"New Haven, CT",City,2020,4,957,1093,1334,1703,1988,0.4,-0.2
"New Orleans, LA",City,2020,4,687,802,972,1246,1462,0.1,0.5
"New Port Richey, FL",City,2020,4,725,828,1031,1363,1635,-0.2,-1.1
"New York, NY",City,2020,4,1934,2148,2559,3300,3675,-0.2,1.6
"Newark, OH",City,2020,4,522,618,796,1024,1191,0,1.4
"Newington, CT",City,2020,4,836,1035,1296,1634,1831,0,-0.8
"Newport News, VA",City,2020,4,839,843,1015,1416,1767,0,-0.2
"Noblesville, IN",City,2020,4,751,871,1079,1446,1649,0.7,4.4
"Norfolk, VA",City,2020,4,794,798,960,1340,1672,0,1
"Normal, IL",City,2020,4,581,639,843,1141,1446,0,0.1
"Norman, OK",City,2020,4,575,636,814,1115,1361,0.1,0.6
"Norristown, PA",City,2020,4,1011,1200,1449,1812,2017,-0.2,2.1
"North Charleston, SC",City,2020,4,813,932,1110,1471,1900,-0.1,2.4
"North Chicago, IL",City,2020,4,717,832,979,1252,1490,0.1,0.3
"North Las Vegas, NV",City,2020,4,787,963,1194,1737,2093,0,1.3
"North Little Rock, AR",City,2020,4,579,671,812,1095,1303,0.2,1.9
"North Port, FL",City,2020,4,853,918,1179,1618,1966,0.2,2.8
"North Richland Hills, TX",City,2020,4,926,1104,1372,1860,2369,-0.1,2.2
"Norwalk, CA",City,2020,4,1345,1601,2057,2796,3083,0.1,0.6
"Novato, CA",City,2020,4,2194,2696,3387,4556,5418,-0.6,3.8
"Oak Park, MI",City,2020,4,818,989,1287,1710,1855,0,0.7
"Ocala, FL",City,2020,4,767,818,993,1337,1441,0.1,0.5
"Oceanside, CA",City,2020,4,1640,1816,2356,3393,4152,-0.1,2.6
"Oconomowoc, WI",City,2020,4,693,842,1044,1315,1477,-0.1,-1
"Ogden, UT",City,2020,4,581,697,894,1276,1497,0,0.2
"Oklahoma City, OK",City,2020,4,575,637,814,1115,1362,0.1,1.2
"Olathe, KS",City,2020,4,759,961,1178,1610,1822,0.1,2.4
"Omaha, NE",City,2020,4,610,767,959,1291,1416,0.1,0.9
"Ontario, CA",City,2020,4,1015,1215,1519,2135,2630,-0.1,0.9
"Orange, CA",City,2020,4,1520,1809,2324,3158,3482,-0.1,1.1
"Orlando, FL",City,2020,4,983,1074,1287,1712,2060,-0.7,0
"Ormond Beach, FL",City,2020,4,774,933,1164,1568,1760,0.2,0.5
"Ortonville, MI",City,2020,4,561,672,883,1168,1267,0.1,-2
"Overland Park, KS",City,2020,4,787,996,1221,1669,1889,-0.2,2.1
"Owings Mills, MD",City,2020,4,1016,1234,1548,1990,2331,-0.4,-0.4
"Oxnard, CA",City,2020,4,1053,1249,1660,2365,2826,0,1.3
"Pacifica, CA",City,2020,4,2495,3066,3851,5182,6162,-0.2,2.6
"Palm Bay, FL",City,2020,4,672,835,1059,1464,1802,-0.1,2
"Palm Beach Gardens, FL",City,2020,4,1165,1441,1828,2516,3030,-0.3,4.7
"Palm Desert, CA",City,2020,4,804,962,1203,1691,2083,0,-0.7
"Palm Harbor, FL",City,2020,4,946,1081,1345,1779,2134,-0.4,0
"Palm Springs, CA",City,2020,4,784,938,1174,1649,2031,0,1.1
"Palmdale, CA",City,2020,4,1236,1471,1891,2569,2833,-0.1,1.5
"Palo Alto, CA",City,2020,4,2173,2576,3230,4457,5168,-0.1,3.8
"Paramount, CA",City,2020,4,1241,1477,1897,2579,2843,-0.5,1.2
"Park Forest, IL",City,2020,4,858,996,1171,1498,1782,0.1,1.6
"Parker, CO",City,2020,4,1166,1425,1803,2620,3034,0.1,0.4
"Parkville, MD",City,2020,4,918,1115,1399,1799,2107,0.2,0.6
"Pasadena, CA",City,2020,4,1368,1628,2092,2844,3136,-0.6,0.3
"Pasadena, MD",City,2020,4,1290,1567,1965,2526,2959,0.5,-4.2
"Pasadena, TX",City,2020,4,736,834,1021,1392,1769,0.2,2.2
